Mighty Ducks of Anaheim	1994	36	Todd Ewen	RW	27	6-2	230	R/-	7	March 22, 1966	9 G, 9 A, 18 P
Mighty Ducks of Anaheim	1994	34	Anatoli Fedotov	D	27	5-11	178	L/-	1	May 11, 1966	0 G, 0 A, 0 P
Mighty Ducks of Anaheim	1994	3	Mark Ferner	D	28	6-0	193	L/-	4	September 5, 1965	3 G, 5 A, 8 P
Mighty Ducks of Anaheim	1994	32	Stu Grimson	LW	28	6-4	240	L/-	5	May 20, 1965	1 G, 5 A, 6 P
Mighty Ducks of Anaheim	1994	31	Guy Hebert	G	27	5-11	186	-/L	2	January 7, 1967	7 G, 20 A, 27 P
Mighty Ducks of Anaheim	1994	6	Sean Hill	D	23	6-0	204	R/-	1	February 14, 1970	14 G, 25 A, 39 P
Mighty Ducks of Anaheim	1994	23	Bill Houlder	D	26	6-2	217	L/-	6	March 11, 1967	4 G, 18 A, 22 P
Mighty Ducks of Anaheim	1994	7	Alexei Kasatonov	D	34	6-1	215	L/-	4	October 14, 1959	8 G, 3 A, 11 P
Mighty Ducks of Anaheim	1994	17	Steven King	RW	24	6-0	195	R/-	1	July 22, 1969	1 G, 9 A, 10 P
Mighty Ducks of Anaheim	1994	29	Randy Ladouceur	D	33	6-2	220	L/-	11	June 30, 1960	6 G, 4 A, 10 P
Mighty Ducks of Anaheim	1994	47	Stephan Lebeau	C	25	5-10	173	R/-	5	February 28, 1968	1 G, 6 A, 7 P
Mighty Ducks of Anaheim	1994	48	John Lilley	RW	21	5-9	170	R/-	R	August 3, 1972	0 G, 0 A, 0 P
Mighty Ducks of Anaheim	1994	27	Lonnie Loach	LW	25	5-10	181	L/-	1	April 14, 1968	13 G, 6 A, 19 P
Mighty Ducks of Anaheim	1994	24	Troy Loney	LW	30	6-3	209	L/-	10	September 21, 1963	0 G, 0 A, 0 P
Mighty Ducks of Anaheim	1994	45	Scott McKay	C	22	5-11	200	R/-	R	January 26, 1972	3 G, 9 A, 12 P
Mighty Ducks of Anaheim	1994	39	Don McSween	D	29	5-11	197	L/-	2	June 9, 1964	0 G, 1 A, 1 P
Mighty Ducks of Anaheim	1994	44	Myles O'Connor	D	26	5-11	190	L/-	3	April 2, 1967	19 G, 18 A, 37 P
Mighty Ducks of Anaheim	1994	14	Joe Sacco	RW	24	6-1	190	L/-	3	February 4, 1969	11 G, 19 A, 30 P
Mighty Ducks of Anaheim	1994	19	Anatoli Semenov	C	31	6-2	190	L/-	3	March 5, 1962	5 G, 4 A, 9 P
Mighty Ducks of Anaheim	1994	35	Mikhail Shtalenkov	G	28	6-2	185	-/L	R	October 20, 1965	16 G, 27 A, 43 P
Mighty Ducks of Anaheim	1994	10	Jarrod Skalde	C	22	6-0	185	L/-	3	February 26, 1971	0 G, 0 A, 0 P
Mighty Ducks of Anaheim	1994	8	Tim Sweeney	LW	26	5-11	185	L/-	3	April 12, 1967	18 G, 27 A, 45 P
Mighty Ducks of Anaheim	1994	33	Jim Thomson	RW	28	6-1	220	R/-	6	December 30, 1965	8 G, 25 A, 33 P
Mighty Ducks of Anaheim	1994	1	Ron Tugnutt	G	26	5-11	160	-/L	6	October 22, 1967	5 G, 15 A, 20 P
Mighty Ducks of Anaheim	1994	18	Garry Valk	LW	26	6-1	200	L/-	3	November 27, 1967	21 G, 31 A, 52 P
Vancouver Canucks	1977	8	Rick Blight	RW	21	6-2	195	R/-	1	October 17, 1955	28 G, 40 A, 68 P
Vancouver Canucks	1977	1	Bruce Bullock	G	27	5-7	160	-/R	2	May 9, 1949	1 G, 9 A, 10 P
Vancouver Canucks	1977	5	Larry Carriere	D	25	6-1	190	L/-	4	January 30, 1952	4 G, 16 A, 20 P
Vancouver Canucks	1977	3	Bob Dailey	D	23	6-5	220	R/-	3	May 3, 1953	0 G, 0 A, 0 P
Vancouver Canucks	1977	28	Rob Flockhart	RW	20	6-0	185	L/-	R	February 6, 1956	1 G, 3 A, 4 P
Vancouver Canucks	1977	7	Dave Fortier	D	25	5-11	190	L/-	3	June 17, 1951	6 G, 4 A, 10 P
Vancouver Canucks	1977	16	Brad Gassoff	LW	21	5-11	195	L/-	1	November 13, 1955	2 G, 4 A, 6 P
Vancouver Canucks	1977	28	Larry Goodenough	D	24	6-0	195	R/-	2	January 19, 1953	7 G, 8 A, 15 P
Vancouver Canucks	1977	21	John Gould	RW	27	5-11	197	L/-	5	April 11, 1949	10 G, 20 A, 30 P
Vancouver Canucks	1977	15	Hilliard Graves	RW	26	5-11	175	R/-	5	October 18, 1950	0 G, 2 A, 2 P
Vancouver Canucks	1977	18	John Grisdale	D	28	6-0	195	R/-	3	August 23, 1948	5 G, 55 A, 60 P
Vancouver Canucks	1977	6	Dennis Kearns	D	31	5-9	185	L/-	5	September 27, 1945	17 G, 15 A, 32 P
Vancouver Canucks	1977	20	Bobby Lalonde	C	25	5-5	155	L/-	5	March 27, 1951	27 G, 30 A, 57 P
Vancouver Canucks	1977	9	Don Lever	C	24	5-11	185	L/-	4	November 14, 1952	0 G, 0 A, 0 P
Vancouver Canucks	1977	30	Cesare Maniago	G	38	6-3	195	-/L	13	January 13, 1939	1 G, 7 A, 8 P
Vancouver Canucks	1977	2	Bob Manno	D	20	6-0	185	L/-	R	October 31, 1956	18 G, 26 A, 44 P
Vancouver Canucks	1977	29	Jack McIlhargey	D	24	6-0	190	L/-	2	March 7, 1952	0 G, 0 A, 0 P
Vancouver Canucks	1977	24	Garry Monahan	LW	30	6-0	199	L/-	9	October 20, 1946	12 G, 12 A, 24 P
Vancouver Canucks	1977	26	Bob Murray	D	28	6-1	195	L/-	3	July 16, 1948	14 G, 26 A, 40 P
Vancouver Canucks	1977	23	Gerry O'Flaherty	LW	26	5-10	182	L/-	5	August 31, 1950	0 G, 9 A, 9 P
Vancouver Canucks	1977	14	Chris Oddleifson	C	26	6-2	185	R/-	4	September 7, 1950	7 G, 9 A, 16 P
Vancouver Canucks	1977	35	Curt Ridley	G	25	6-0	190	-/L	2	September 24, 1951	18 G, 20 A, 38 P
Vancouver Canucks	1977	2	Mike Robitaille	D	28	5-11	195	R/-	7	February 12, 1948	4 G, 18 A, 22 P
Vancouver Canucks	1977	19	Derek Sanderson	C	30	6-0	185	L/-	11	June 16, 1946	9 G, 6 A, 15 P
Vancouver Canucks	1977	17	Ron Sedlbauer	LW	22	6-3	195	L/-	2	October 22, 1954	6 G, 8 A, 14 P
Vancouver Canucks	1977	27	Harold Snepsts	D	22	6-3	210	L/-	2	October 24, 1954	27 G, 18 A, 45 P
Vancouver Canucks	1977	22	Andy Spruce	LW	22	5-11	178	L/-	R	April 17, 1954	7 G, 24 A, 31 P
Vancouver Canucks	1977	25	Ralph Stewart	C	28	6-1	190	L/-	5	December 2, 1948	4 G, 6 A, 10 P
Washington Capitals	1975	30-32	John Adams	G	28	6-0	200	-/L	1	July 27, 1946	0 G, 1 A, 1 P
Washington Capitals	1975	8	Murray Anderson	D	25	5-10	175	L/-	R	August 28, 1949	9 G, 7 A, 16 P
Washington Capitals	1975	10-12	Ron Anderson	RW	25	5-10	165	R/-	R	January 21, 1950	11 G, 4 A, 15 P
Washington Capitals	1975	12-21	Steve Atkinson	RW	26	5-11	170	R/-	5	October 16, 1948	4 G, 13 A, 17 P
Washington Capitals	1975	9	Garnet Bailey	LW	26	5-11	192	L/-	6	June 13, 1948	7 G, 19 A, 26 P
Washington Capitals	1975	31	Michel Belhumeur	G	25	5-10	160	-/L	1	September 2, 1949	1 G, 10 A, 11 P
Washington Capitals	1975	23	Mike Bloom	RW	22	6-3	206	L/-	R	April 12, 1952	1 G, 0 A, 1 P
Washington Capitals	1975	10	Gord Brooks	RW	24	5-8	168	R/-	2	September 11, 1950	5 G, 6 A, 11 P
Washington Capitals	1975	17	Willie Brossart	D	25	6-0	190	L/-	4	May 29, 1949	20 G, 15 A, 35 P
Washington Capitals	1975	27	Bruce Cowick	RW	23	6-1	200	L/-	R	August 18, 1951	3 G, 2 A, 5 P
Washington Capitals	1975	15	Denis Dupere	LW	26	6-1	200	L/-	4	June 21, 1948	1 G, 0 A, 1 P
Washington Capitals	1975	11	Jack Egers	RW	26	6-1	175	L/-	5	January 28, 1949	11 G, 7 A, 18 P
Washington Capitals	1975	24	Larry Fullan	LW	25	5-11	185	L/-	R	August 11, 1949	5 G, 8 A, 13 P
Washington Capitals	1975	15	Stan Gilbertson	LW	30	6-0	175	L/-	3	October 29, 1944	5 G, 5 A, 10 P
